ts,open,high,low,close,vol,date
1739309400,95500.0,96480.0,95500.0,96170.23,0.4850212118,2025-02-11 21:30:00
1739313000,96170.38,96170.38,95350.01,95789.91,0.2256043245,2025-02-11 22:30:00
1739316600,95790.0,95939.87,95556.0,95939.22,0.0814232079,2025-02-11 23:30:00
1739320200,95899.69,96000.0,95593.35,95995.74,0.1273950613,2025-02-12 00:30:00
1739323800,95605.55,96149.0,95601.8,95719.2,0.0843849527,2025-02-12 01:30:00
1739327400,95723.66,96099.78,95169.99,95751.13,0.2711332041,2025-02-12 02:30:00
1739331000,95843.13,95843.14,95211.28,95218.33,0.0990675736,2025-02-12 03:30:00
1739334600,95218.33,95800.0,95218.03,95800.0,0.1046405173,2025-02-12 04:30:00
1739338200,95800.0,95999.99,95599.24,95858.0,0.2354490171,2025-02-12 05:30:00
1739341800,95857.55,95958.99,95500.0,95958.65,0.2923329206,2025-02-12 06:30:00
1739345400,95958.99,96000.0,95900.0,96000.0,0.2883459739,2025-02-12 07:30:00
1739349000,96000.0,96299.98,95912.23,95951.0,0.1823353337,2025-02-12 08:30:00
1739352600,95915.01,96139.93,95914.0,95914.0,0.1248264743,2025-02-12 09:30:00
1739356200,95914.0,95999.24,95840.0,95930.0,0.2395592152,2025-02-12 10:30:00
1739359800,95943.0,96100.0,95800.0,95804.0,0.3401442378,2025-02-12 11:30:00
1739363400,95804.0,96299.98,95500.02,96299.92,0.5570746112,2025-02-12 12:30:00
1739367000,96000.04,96000.04,93900.0,94601.0,2.7763151986,2025-02-12 13:30:00
1739370600,94601.0,95800.01,94400.0,95600.0,0.9172053478,2025-02-12 14:30:00
1739374200,95303.06,95780.0,94830.02,94975.0,0.6115858228,2025-02-12 15:30:00
1739377800,95241.64,96845.3,94980.19,96845.3,1.472364248,2025-02-12 16:30:00
1739381400,96845.3,96950.0,95501.0,96013.0,0.9621205562,2025-02-12 17:30:00
1739385000,96071.0,96500.0,96000.0,96150.01,0.2581389312,2025-02-12 18:30:00
1739388600,96152.01,96936.0,96006.0,96923.0,0.5480291656,2025-02-12 19:30:00
1739392200,96923.0,96949.99,96207.44,96700.0,0.6398346193,2025-02-12 20:30:00
1739395800,96700.01,97011.0,96615.88,96850.0,0.6685674936,2025-02-12 21:30:00
1739399400,97000.0,97260.0,96800.01,97010.0,0.5606046354,2025-02-12 22:30:00
1739403000,97010.0,97259.99,96800.0,96800.0,0.1847714491,2025-02-12 23:30:00
1739406600,96800.04,97105.51,96800.0,97105.5,0.0321864072,2025-02-13 00:30:00
1739410200,97089.0,97300.0,96811.32,97069.3,0.1668270693,2025-02-13 01:30:00
